TABLE_NAME,COLUMN_NAME,IS_NULLABLE,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE
CUSTOMER,C_MKTSEGMENT,YES,TEXT,10,,
CUSTOMER,C_ACCTBAL,NO,NUMBER,,12,2
CUSTOMER,C_NATIONKEY,NO,NUMBER,,38,0
CUSTOMER,C_CUSTKEY,NO,NUMBER,,38,0
CUSTOMER,C_COMMENT,YES,TEXT,117,,
CUSTOMER,C_NAME,NO,TEXT,25,,
CUSTOMER,C_PHONE,NO,TEXT,15,,
CUSTOMER,C_ADDRESS,NO,TEXT,40,,
LINEITEM,L_DISCOUNT,NO,NUMBER,,12,2
LINEITEM,L_QUANTITY,NO,NUMBER,,12,2
LINEITEM,L_ORDERKEY,NO,NUMBER,,38,0
LINEITEM,L_RETURNFLAG,NO,TEXT,1,,
LINEITEM,L_SHIPDATE,NO,DATE,,,
LINEITEM,L_EXTENDEDPRICE,NO,NUMBER,,12,2
LINEITEM,L_RECEIPTDATE,NO,DATE,,,
LINEITEM,L_SUPPKEY,NO,NUMBER,,38,0
LINEITEM,L_LINESTATUS,NO,TEXT,1,,
LINEITEM,L_PARTKEY,NO,NUMBER,,38,0
LINEITEM,L_SHIPINSTRUCT,NO,TEXT,25,,
LINEITEM,L_LINENUMBER,NO,NUMBER,,38,0
LINEITEM,L_COMMENT,NO,TEXT,44,,
LINEITEM,L_COMMITDATE,NO,DATE,,,
LINEITEM,L_TAX,NO,NUMBER,,12,2
LINEITEM,L_SHIPMODE,NO,TEXT,10,,
NATION,N_COMMENT,YES,TEXT,152,,
NATION,N_REGIONKEY,NO,NUMBER,,38,0
NATION,N_NATIONKEY,NO,NUMBER,,38,0
NATION,N_NAME,NO,TEXT,25,,
ORDERS,O_ORDERPRIORITY,NO,TEXT,15,,
ORDERS,O_CUSTKEY,NO,NUMBER,,38,0
ORDERS,O_ORDERSTATUS,NO,TEXT,1,,
ORDERS,O_SHIPPRIORITY,NO,NUMBER,,38,0
ORDERS,O_COMMENT,NO,TEXT,79,,
ORDERS,O_TOTALPRICE,NO,NUMBER,,12,2
ORDERS,O_ORDERKEY,NO,NUMBER,,38,0
ORDERS,O_ORDERDATE,NO,DATE,,,
ORDERS,O_CLERK,NO,TEXT,15,,
PART,P_PARTKEY,NO,NUMBER,,38,0
PART,P_RETAILPRICE,NO,NUMBER,,12,2
PART,P_COMMENT,YES,TEXT,23,,
PART,P_CONTAINER,NO,TEXT,10,,
PART,P_TYPE,NO,TEXT,25,,
PART,P_BRAND,NO,TEXT,10,,
PART,P_MFGR,NO,TEXT,25,,
PART,P_NAME,NO,TEXT,55,,
PART,P_SIZE,NO,NUMBER,,38,0
PARTSUPP,PS_AVAILQTY,NO,NUMBER,,38,0
PARTSUPP,PS_SUPPKEY,NO,NUMBER,,38,0
PARTSUPP,PS_PARTKEY,NO,NUMBER,,38,0
PARTSUPP,PS_COMMENT,YES,TEXT,199,,
PARTSUPP,PS_SUPPLYCOST,NO,NUMBER,,12,2
REGION,R_COMMENT,YES,TEXT,152,,
REGION,R_NAME,NO,TEXT,25,,
REGION,R_REGIONKEY,NO,NUMBER,,38,0
SUPPLIER,S_NAME,NO,TEXT,25,,
SUPPLIER,S_COMMENT,YES,TEXT,101,,
SUPPLIER,S_ACCTBAL,NO,NUMBER,,12,2
SUPPLIER,S_SUPPKEY,NO,NUMBER,,38,0
SUPPLIER,S_PHONE,NO,TEXT,15,,
SUPPLIER,S_NATIONKEY,NO,NUMBER,,38,0
SUPPLIER,S_ADDRESS,NO,TEXT,40,,
