LINK_NAME,HUB_NAME,KEY,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE
LNK_PART_LINEITEM,HUB_PART,P_PARTKEY,NUMBER,,38,0
LNK_PART_LINEITEM,HUB_LINEITEM,L_PARTKEY,NUMBER,,38,0
LNK_ORDERS_LINEITEM,HUB_ORDERS,O_ORDERKEY,NUMBER,,38,0
LNK_ORDERS_LINEITEM,HUB_LINEITEM,L_ORDERKEY,NUMBER,,38,0
LNK_SUPPLIER_LINEITEM,HUB_SUPPLIER,S_SUPPKEY,NUMBER,,38,0
LNK_SUPPLIER_LINEITEM,HUB_LINEITEM,L_SUPPKEY,NUMBER,,38,0
LNK_PART_PARTSUPP,HUB_PART,P_PARTKEY,NUMBER,,38,0
LNK_PART_PARTSUPP,HUB_PARTSUPP,PS_PARTKEY,NUMBER,,38,0
LNK_SUPPLIER_PARTSUPP,HUB_SUPPLIER,S_SUPPKEY,NUMBER,,38,0
LNK_SUPPLIER_PARTSUPP,HUB_PARTSUPP,PS_SUPPKEY,NUMBER,,38,0
